sample	unit	lib	platform	fq1	fq2
23x272	 P36454P1   	P36454_156	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_156/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_156_S166_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_156/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_156_S166_L004_R2_001.fastq.gz
23x272	 P36454P1   	P36454_156	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_156/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_156_S166_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_156/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_156_S166_L002_R2_001.fastq.gz
23x274	 P36454P1   	P36454_158	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_158/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_158_S168_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_158/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_158_S168_L002_R2_001.fastq.gz
23x274	 P36454P1   	P36454_158	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_158/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_158_S168_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_158/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_158_S168_L004_R2_001.fastq.gz
23x274	 P36454P1   	P36454_158	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_158/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_158_S168_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_158/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_158_S168_L003_R2_001.fastq.gz
L23x4	 P36454P1   	P36454_187	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_187/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_187_S197_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_187/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_187_S197_L004_R2_001.fastq.gz
L23x4	 P36454P1   	P36454_187	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_187/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_187_S197_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_187/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_187_S197_L003_R2_001.fastq.gz
L23x4	 P36454P1   	P36454_187	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_187/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_187_S197_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_187/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_187_S197_L002_R2_001.fastq.gz
24x1074	 P36454P3   	P36454_335	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_335/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_335_S333_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_335/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_335_S333_L003_R2_001.fastq.gz
24x1074	 P36454P3   	P36454_335	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_335/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_335_S333_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_335/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_335_S333_L004_R2_001.fastq.gz
